               idx              time               r_x               r_y               r_z               v_x               v_y               v_z            d_core           d_shell             T_par             T_env             humid              vw_x              vw_y              vw_z               m_c               m_s               f_x               f_y               f_z              core            active
      1.000000         0.1200031         0.3585850E-01    -0.4293122          1.187412          0.000000          0.000000        -0.1503279          66.35814          66.35814          307.6883          300.0000         0.9000000          0.000000          0.000000          0.000000         0.1529964E+09      0.000000          0.000000          0.000000        -0.5893643E-03      1.000000          1.000000    
      2.000000         0.1200023        -0.1831178         0.4330665         0.9978320          0.000000          0.000000        -0.3128208          96.96962          96.96962          297.3397          300.0000         0.9000000          0.000000          0.000000          0.000000         0.4774256E+09      0.000000          0.000000          0.000000        -0.1190561          1.000000          1.000000    
      3.000000         0.1200441         0.2554457         0.4320627          1.991057          0.000000          0.000000        -0.3230734E-02      9.678986          9.678986          298.2540          300.0000         0.9000000          0.000000          0.000000          0.000000          474775.4          0.000000          0.000000          0.000000         0.1734723E-17      1.000000          1.000000    
      4.000000         0.1200000         0.9500196E-01    -0.3725236E-01      1.354019          0.000000          0.000000        -0.2027983          77.18490          77.18490          305.0582          300.0000         0.9000000          0.000000          0.000000          0.000000         0.2407662E+09      0.000000          0.000000          0.000000        -0.7182521E-02      1.000000          1.000000    
      5.000000         0.1200501        -0.4784577         0.3469325          1.858025          0.000000          0.000000        -0.4278905E-01      35.37030          35.37030          300.4187          300.0000         0.9000000          0.000000          0.000000          0.000000         0.2316940E+08      0.000000          0.000000          0.000000        -0.2114142E-12      1.000000          1.000000    
      6.000000         0.1200024        -0.3284594        -0.4417036          1.258491          0.000000          0.000000        -0.2678220          89.15369          89.15369          303.9332          300.0000         0.9000000          0.000000          0.000000          0.000000         0.3710365E+09      0.000000          0.000000          0.000000        -0.4727115E-01      1.000000          1.000000    
      7.000000         0.1200032        -0.1591001        -0.3457450          1.811952          0.000000          0.000000        -0.2238293          81.18341          81.18341          304.7699          300.0000         0.9000000          0.000000          0.000000          0.000000         0.2801563E+09      0.000000          0.000000          0.000000        -0.1458536E-01      1.000000          1.000000    
      8.000000         0.1200001         0.2710205        -0.2629222          1.115939          0.000000          0.000000        -0.1247986          60.44716          60.44716          306.4644          300.0000         0.9000000          0.000000          0.000000          0.000000         0.1156449E+09      0.000000          0.000000          0.000000        -0.8902464E-04      1.000000          1.000000    
      9.000000         0.1200312         0.8834381E-01     0.3674571          1.105274          0.000000          0.000000        -0.2236038          81.14103          81.14103          300.2463          300.0000         0.9000000          0.000000          0.000000          0.000000         0.2797178E+09      0.000000          0.000000          0.000000        -0.1446532E-01      1.000000          1.000000    
      10.00000         0.1200244        -0.1327152        -0.7877497E-01      1.850691          0.000000          0.000000        -0.5603746E-01      40.48530          40.48530          301.6873          300.0000         0.9000000          0.000000          0.000000          0.000000         0.3474487E+08      0.000000          0.000000          0.000000        -0.2303893E-09      1.000000          1.000000    
      11.00000         0.1200243         0.2144630E-01    -0.9973892E-01      1.496523          0.000000          0.000000        -0.4603650E-01      36.69002          36.69002          299.8540          300.0000         0.9000000          0.000000          0.000000          0.000000         0.2586083E+08      0.000000          0.000000          0.000000        -0.1696310E-11      1.000000          1.000000    
      12.00000         0.1200217         0.3003514        -0.1014339          1.851958          0.000000          0.000000        -0.5901038E-01      41.54679          41.54679          293.8372          300.0000         0.9000000          0.000000          0.000000          0.000000         0.3755010E+08      0.000000          0.000000          0.000000        -0.7254659E-09      1.000000          1.000000    
      13.00000         0.1200435        -0.2828048         0.3438642          1.467002          0.000000          0.000000        -0.1422415E-01      20.36979          20.36979          299.9435          300.0000         0.9000000          0.000000          0.000000          0.000000          4425459.          0.000000          0.000000          0.000000        -0.6938894E-16      1.000000          1.000000    
      14.00000         0.1200313        -0.6523098E-01     0.3225488          1.524187          0.000000          0.000000        -0.2121045          78.97270          78.97270          299.3380          300.0000         0.9000000          0.000000          0.000000          0.000000         0.2578870E+09      0.000000          0.000000          0.000000        -0.9958408E-02      1.000000          1.000000    
      15.00000         0.1200413         0.6096709E-01    -0.2862012          1.164647          0.000000          0.000000        -0.1670301E-01      22.07810          22.07810          307.5237          300.0000         0.9000000          0.000000          0.000000          0.000000          5634868.          0.000000          0.000000          0.000000        -0.1873501E-15      1.000000          1.000000    
      16.00000         0.1200465        -0.2346659         0.1377585          1.564490          0.000000          0.000000        -0.8725367E-01      50.53220          50.53220          305.0457          300.0000         0.9000000          0.000000          0.000000          0.000000         0.6756210E+08      0.000000          0.000000          0.000000        -0.8739720E-06      1.000000          1.000000    
      17.00000         0.1200342        -0.6075453E-01     0.2367759          1.242905          0.000000          0.000000        -0.2063329E-01      24.54469          24.54469          307.0481          300.0000         0.9000000          0.000000          0.000000          0.000000          7742327.          0.000000          0.000000          0.000000        -0.2498002E-15      1.000000          1.000000    
      18.00000         0.1200326        -0.1856389         0.4657255          1.653674          0.000000          0.000000        -0.1451174          65.19386          65.19386          295.2872          300.0000         0.9000000          0.000000          0.000000          0.000000         0.1450837E+09      0.000000          0.000000          0.000000        -0.4202481E-03      1.000000          1.000000    
      19.00000         0.1200081         0.2598911         0.3131896          1.239601          0.000000          0.000000        -0.5187731E-01      38.95144          38.95144          302.8787          300.0000         0.9000000          0.000000          0.000000          0.000000         0.3094348E+08      0.000000          0.000000          0.000000        -0.3749889E-10      1.000000          1.000000    
      20.00000         0.1200193         0.2308470         0.8797831E-01      1.290032          0.000000          0.000000        -0.3144873          97.25517          97.25517          304.7550          300.0000         0.9000000          0.000000          0.000000          0.000000         0.4816557E+09      0.000000          0.000000          0.000000        -0.1227099          1.000000          1.000000    
